Date,Open,High,Low,Close,Adj Close,Volume,company_name
2023-10-27,166.91000366210938,168.9600067138672,166.8300018310547,168.22000122070312,167.36358642578125,58499100,APPLE
2023-10-30,169.02000427246094,171.1699981689453,168.8699951171875,170.2899932861328,169.42303466796875,51131000,APPLE
2023-10-31,169.35000610351562,170.89999389648438,167.89999389648438,170.77000427246094,169.90060424804688,44846000,APPLE
2023-11-01,171.0,174.22999572753906,170.1199951171875,173.97000122070312,173.08432006835938,56934900,APPLE
2023-11-02,175.52000427246094,177.77999877929688,175.4600067138672,177.57000732421875,176.66598510742188,77334800,APPLE
2023-11-03,174.24000549316406,176.82000732421875,173.35000610351562,176.64999389648438,175.75067138671875,79763700,APPLE
2023-11-06,176.3800048828125,179.42999267578125,176.2100067138672,179.22999572753906,178.31753540039062,63841300,APPLE
2023-11-07,179.17999267578125,182.44000244140625,178.97000122070312,181.82000732421875,180.8943634033203,70530000,APPLE
2023-11-08,182.35000610351562,183.4499969482422,181.58999633789062,182.88999938964844,181.95887756347656,49340300,APPLE
2023-11-09,182.9600067138672,184.1199951171875,181.80999755859375,182.41000366210938,181.48135375976562,53763500,APPLE
2023-11-10,183.97000122070312,186.57000732421875,183.52999877929688,186.39999389648438,185.69534301757812,66133400,APPLE
2023-11-13,185.82000732421875,186.02999877929688,184.2100067138672,184.8000030517578,184.1013946533203,43627500,APPLE
2023-11-14,187.6999969482422,188.11000061035156,186.3000030517578,187.44000244140625,186.73141479492188,60108400,APPLE
2023-11-15,187.85000610351562,189.5,187.77999877929688,188.00999450683594,187.29925537109375,53790500,APPLE
2023-11-16,189.57000732421875,190.9600067138672,188.64999389648438,189.7100067138672,188.9928436279297,54412900,APPLE
2023-11-17,190.25,190.3800048828125,188.57000732421875,189.69000244140625,188.97291564941406,50922700,APPLE
2023-11-20,189.88999938964844,191.91000366210938,189.8800048828125,191.4499969482422,190.72625732421875,46505100,APPLE
2023-11-21,191.41000366210938,191.52000427246094,189.74000549316406,190.63999938964844,189.91932678222656,38134500,APPLE
